都道府県,市区町村,区,昼間人口
東京都,千代田区,null,819247
京都府,京都市,上京区,97833
大阪府,大阪市,中央区,465786
愛知県,名古屋市,昭和区,123063
東京都,中央区,null,605926
大阪府,堺市,堺区,173014
東京都,港区,null,886173
広島県,坂町,null,15339
愛知県,名古屋市,中区,297039
熊本県,嘉島町,null,10025
大阪府,大阪市,北区,382705
愛知県,小牧市,null,169933
愛知県,飛島村,null,13161
北海道,赤井川村,null,1451
東京都,渋谷区,null,520698
沖縄県,嘉手納町,null,15887
東京都,新宿区,null,750120
神奈川県,厚木市,null,257772
兵庫県,神戸市,中央区,276972
岩手県,金ケ崎町,null,18712
大阪府,大阪市,西区,177691
愛知県,名古屋市,港区,170191
栃木県,芳賀町,null,28875
熊本県,大津町,null,35587
神奈川県,横浜市,西区,170450
山梨県,甲府市,null,226701
広島県,広島市,中区,229879
広島県,広島市,南区,156596
京都府,久御山町,null,27825
山形県,三川町,null,8753
福岡県,福岡市,博多区,365990
青森県,大間町,null,7178
京都府,京都市,下京区,135656
東京都,立川市,null,203252
北海道,札幌市,中央区,372808
埼玉県,三芳町,null,43768
東京都,台東区,null,294756
和歌山県,御坊市,null,29505
東京都,文京区,null,345423
千葉県,千葉市,美浜区,169434
大阪府,大阪市,天王寺区,116468
茨城県,水戸市,null,303122
神奈川県,横浜市,中区,243277
東京都,墨田区,null,279272
愛知県,名古屋市,中村区,226298
新潟県,湯沢町,null,9468
愛知県,名古屋市,東区,118733
大阪府,摂津市,null,94321
福岡県,福岡市,中央区,284690
山梨県,早川町,null,1401
北海道,泊村,null,2980
北海道,士幌町,null,7203
大阪府,大阪市,浪速区,97184
静岡県,湖西市,null,67375
神奈川県,箱根町,null,20645
愛知県,名古屋市,千種区,179314
東京都,豊島区,null,422995
大阪府,堺市,美原区,43856
京都府,京都市,中京区,155123
石川県,川北町,null,6849
千葉県,芝山町,null,11628
鳥取県,倉吉市,null,56480
東京都,品川区,null,527019
鳥取県,日吉津村,null,3718
愛知県,大口町,null,32248
兵庫県,福崎町,null,22069
青森県,六ヶ所村,null,15920
佐賀県,鳥栖市,null,76834
宮城県,大衡村,null,7433
大阪府,門真市,null,144849
京都府,京都市,東山区,56253
群馬県,大泉町,null,44733
埼玉県,さいたま市,大宮区,150476
福島県,泉崎村,null,7556
京都府,京都市,南区,136137
香川県,坂出市,null,61717
福島県,大熊町,null,15817
徳島県,松茂町,null,16716
宮城県,仙台市,青葉区,397465
宮城県,女川町,null,11143
愛知県,名古屋市,熱田区,87530
