店名,台数,都道府県,市区郡,区町
ラウンドワン函館店,3,北海道,函館市,null
♪ｎａｍｃｏ札幌エスタ店,9,北海道,札幌市,中央区
タイトーステーション 札幌狸小路店,3,北海道,札幌市,中央区
ディノスパーク札幌中央,3,北海道,札幌市,中央区
ソユーゲームフィールド札幌発寒店,3,北海道,札幌市,西区
ラウンドワン札幌すすきの店,3,北海道,札幌市,中央区
ソユーゲームフィールド旭川駅前店,3,北海道,旭川市,null
ラウンドワン旭川店,3,北海道,旭川市,null
光速憧路,3,北海道,稚内市,null
ラウンドワン青森店,3,青森県,青森市,null
ソユープレイランドソピア八戸店,3,青森県,八戸市,null
ゲームフェスタミタマ,3,青森県,弘前市,null
スペースファンタジーインフィニ店,3,青森県,弘前市,null
青森メトロポリス,3,青森県,青森市,null
ラウンドワン盛岡店,3,岩手県,盛岡市,null
プラサカプコン盛岡,3,岩手県,盛岡市,null
ソユーゲームフィールド盛岡南店,3,岩手県,盛岡市,null
ソユーアミューズメントゾーン北上店,3,岩手県,北上市,null
♪タイトーステーション 仙台クリスロード店,9,宮城県,仙台市,青葉区
仙台レジャーランド一番町店,3,宮城県,仙台市,青葉区
♫スーパーノバ仙台利府店,6,宮城県,宮城郡,利府町
GAME BANK 仙台泉店,3,宮城県,仙台市,泉区
ラウンドワン仙台苦竹店,3,宮城県,仙台市,宮城野区
ザ・サードプラネット BiVi仙台店,3,宮城県,仙台市,宮城野区
プラサカプコン石巻,3,宮城県,石巻市,null
♫ソユーゲームフィールド御所野店,6,秋田県,秋田市,null
♫スーパーノバ天童店,6,山形県,天童市,null
アピナ鶴岡店,3,山形県,鶴岡市,null
♫スーパーノバ福島店,6,福島県,福島市,null
ＳＯＹＵ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＳＴＵＤＩＯ須賀川店,3,福島県,須賀川市,null
タイトーFアミューズメントシティ郡山,3,福島県,郡山市,null
ラウンドワン郡山店,3,福島県,郡山市,null
ｎａｍｃｏイオンタウン郡山店,3,福島県,郡山市,null
スーパーノバ会津インター店,3,福島県,会津若松市,null
Ｇ３ポロス原町店,3,福島県,南相馬市,null
プラサカプコン土浦,3,茨城県,土浦市,null
ゲームパニックつくば,3,茨城県,土浦市,null
ピンクパンサーつくばみらい店,3,茨城県,つくばみらい市,null
ＳＯＹＵ　ＴＯＹ’ｓ　ＮＹ守谷店,3,茨城県,守谷市,null
ピンクパンサー下妻店,3,茨城県,下妻市,null
ピンクパンサーつくば店,3,茨城県,つくば市,null
ピンクパンサー水戸けやき台店,3,茨城県,水戸市,null
ピンクパンサー那珂店,3,茨城県,那珂市,null
ピンクパンサー水戸赤塚店,3,茨城県,水戸市,null
ピンクパンサー日立店,3,茨城県,日立市,null
ユーズランド水戸内原店,3,茨城県,水戸市,null
ＩＮＴＥＲ　ＰＡＲＫ　＋１　宇都宮店,3,栃木県,宇都宮市,null
プラボ宇都宮店,3,栃木県,宇都宮市,null
アピナ小山店,3,栃木県,小山市,null
栃木レジャーランド足利店,3,栃木県,足利市,null
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,3,栃木県,佐野市,null
♫群馬レジャーランド高崎駅東口店,6,群馬県,高崎市,null
ザ・サードプラネット 高崎店,3,群馬県,高崎市,null
マトリクス前橋店,3,群馬県,前橋市,null
群馬レジャーランド伊勢崎店,3,群馬県,伊勢崎市,null
アピナ太田店,3,群馬県,太田市,null
群馬レジャーランド太田店,3,群馬県,太田市,null
関東スポーツセンター,3,群馬県,館林市,null
群馬レジャーランド藤岡店,3,群馬県,藤岡市,null
群馬レジャーランド渋川店,3,群馬県,渋川市,null
ラウンドワン前橋店,3,群馬県,前橋市,null
Ｓｐｉｃａ大宮南銀店,3,埼玉県,さいたま市,大宮区
タイトーステーション 大宮店,3,埼玉県,さいたま市,大宮区
ゲームシティ川口店,3,埼玉県,川口市,null
ギガステーション戸田,3,埼玉県,戸田市,null
ラウンドワンららぽーと新三郷店,3,埼玉県,三郷市,null
ゲームパニック三郷,3,埼玉県,三郷市,null
ユーズランド越谷店,3,埼玉県,越谷市,null
埼玉レジャーランド春日部店,3,埼玉県,春日部市,null
プレイランド菖蒲店,3,埼玉県,久喜市,null
プラサカプコン羽生,3,埼玉県,羽生市,null
ゲームシティプラス川越店,3,埼玉県,川越市,null
モナコ川越店,3,埼玉県,川越市,null
タイトーステーション 所沢店,3,埼玉県,所沢市,null
ソユーゲームフィールド熊谷店,3,埼玉県,熊谷市,null
ｎａｍｃｏ熊谷店,3,埼玉県,熊谷市,null
アピナ上尾店,3,埼玉県,上尾市,null
♪スポーツウェーブ鉄腕24 浜野店,9,千葉県,千葉市,中央区
スポーツウェーブ鉄腕24 稲毛長沼店,3,千葉県,千葉市,稲毛区
ムー大陸　稲毛店,3,千葉県,千葉市,稲毛区
東京ガリバー松戸店,3,千葉県,松戸市,null
タイトーFステーション市川妙典店,3,千葉県,市川市,null
大慶園パートⅡ,3,千葉県,市川市,null
アミューズメントエース津田沼,3,千葉県,船橋市,null
スーパービバホーム新習志野店　２階ゲームコーナー,3,千葉県,習志野市,null
タイトーステーション 柏店,3,千葉県,柏市,null
ラウンドワンアリオ柏店,3,千葉県,柏市,null
ゲームアルファー柏店,3,千葉県,柏市,null
タイトーＦステーション 柏中央店,3,千葉県,柏市,null
千葉レジャーランド野田店,3,千葉県,野田市,null
プラサカプコン成田,3,千葉県,成田市,null
千葉レジャーランド成東店,3,千葉県,山武市,null
ソユーゲームフィールド木更津店,3,千葉県,木更津市,null
♪クラブ セガ 秋葉原 新館,9,東京都,千代田区,null
Ｈｅｙ,3,東京都,千代田区,null
♫東京レジャーランド秋葉原店,6,東京都,千代田区,null
♪タイトーステーション 秋葉原店,9,東京都,千代田区,null
♫東京レジャーランド秋葉原2号店,6,東京都,千代田区,null
ｎａｍｃｏ王子サンスクエア店,3,東京都,北区,null
東京レジャーランド亀有店,3,東京都,葛飾区,null
タイトーFステーションオリナス錦糸町店,3,東京都,墨田区,null
パトリオットＭ,3,東京都,墨田区,null
東京レジャ－ランド小岩店,3,東京都,江戸川区,null
ラウンドワンダイバーシティ東京プラザ店,3,東京都,江東区,null
ラウンドワン南砂店,3,東京都,江東区,null
アムネット五反田店,3,東京都,品川区,null
タイトーステーション 渋谷店,3,東京都,渋谷区,null
ASO:VIBA!,3,東京都,渋谷区,null
アドアーズ渋谷,3,東京都,渋谷区,null
タイトーステーション 新宿南口ゲームワールド店,3,東京都,新宿区,null
新宿スポーツランド本館,3,東京都,新宿区,null
タイトーステーション 新宿東口店,3,東京都,新宿区,null
ｎａｍｃｏ中野店,3,東京都,中野区,null
ｎａｍｃｏ荻窪店,3,東京都,杉並区,null
ｎａｍｃｏ巣鴨店,3,東京都,豊島区,null
池袋ＧＩＧＯ,3,東京都,豊島区,null
アドアーズサンシャイン,3,東京都,豊島区,null
ＡＭサントロぺ池袋,3,東京都,豊島区,null
♫ラウンドワン池袋店,6,東京都,豊島区,null
♪タイトーステーション 池袋西口店,9,東京都,豊島区,null
プラサカプコン吉祥寺,3,東京都,武蔵野市,null
プレイロットジョイ,3,東京都,武蔵野市,null
ラウンドワン府中本町駅前店,3,東京都,府中市,null
ゲームシティ国分寺南店,3,東京都,国分寺市,null
立川ゲームオスロー第２店,3,東京都,立川市,null
立川ゲームオスロー第５店,3,東京都,立川市,null
アミューズメントモナコ立川,3,東京都,立川市,null
ユーズランド日の出店,3,東京都,西多摩郡,日の出町
タイトーステーション 町田店,3,東京都,町田市,null
ラウンドワン町田店,3,東京都,町田市,null
タイトーステーション 多摩センター店,3,東京都,多摩市,null
シルクハット川崎ダイス,3,神奈川県,川崎市,川崎区
ｎａｍｃｏラゾーナ川崎店,3,神奈川県,川崎市,幸区
ラウンドワン高津店,3,神奈川県,川崎市,高津区
タイトーステーション 横浜西口五番街店,3,神奈川県,横浜市,西区
♪ラウンドワン横浜駅西口店,9,神奈川県,横浜市,西区
ザ・サードプラネット 港北ニュータウン店,3,神奈川県,横浜市,都筑区
ネバーランド,3,神奈川県,横浜市,都筑区
ｎａｍｃｏ都筑店,3,神奈川県,横浜市,都筑区
ドリームス鴨居店,3,神奈川県,横浜市,緑区
プラサカプコン横須賀,3,神奈川県,横須賀市,null
神奈川レジャーランド　厚木店,3,神奈川県,厚木市,null
タイトーステーション 海老名ビナウォーク店,3,神奈川県,海老名市,null
ネバーランド２座間店,3,神奈川県,座間市,null
アピナ橋本店,3,神奈川県,相模原市,緑区
小田原メトロポリス,3,神奈川県,小田原市,null
ゲームパニック甲府店,3,山梨県,甲府市,null
ラウンドワン山梨･石和店,3,山梨県,笛吹市,null
